V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
-1.35982,-0.072781,2.536347,1.378155,-0.338321,0.462388,0.239599,0.098698,0.363787,0.090794
1.191857,0.266151,0.16648,0.448154,0.060018,-0.082361,-0.078803,0.085102,-0.255425,-0.166974
-1.358354,-1.340163,1.773209,0.37978,-0.503198,1.800499,0.791461,-0.247752,-1.514654,0.207643
-0.966272,-0.185226,1.792993,-0.863291,-0.010309,1.247203,0.237609,0.377436,-1.387024,-0.054952
-1.158233,0.877737,1.548718,0.403034,-0.407193,0.095921,0.592941,-0.270533,0.817739,0.753074
0.261895,-0.424364,1.888339,0.218653,0.212892,-0.285496,-0.174786,0.021035,0.722543,0.162817
-0.436858,-0.018231,1.713333,0.628864,0.393666,0.038446,0.448991,0.024564,-0.697529,0.103308
1.229658,0.141004,0.045371,1.202613,-0.19799,0.447372,-0.471413,0.228121,0.735824,-0.227284
-2.312227,1.951992,-1.609851,3.997906,-0.522188,-1.426545,-2.537387,1.391657,-2.770089,-2.772272
-3.043541,3.284755,0.28189,0.539423,-0.320524,4.104759,0.226952,-0.339243,0.840212,-0.01639
